index,Matchup URL,Matchup,Teams,Opponent,Round Win Pct,Map Win Pct
1,https://www.vlr.gg/353197/cloud9-vs-kr-esports-champions-tour-2024-americas-stage-2-w4,Cloud9_vs_KRÜ Esports,A,Others,0.45892351274787535,0.4117647058823529
2,https://www.vlr.gg/353197/cloud9-vs-kr-esports-champions-tour-2024-americas-stage-2-w4,Cloud9_vs_KRÜ Esports,B,A,0.46794871794871795,0.375
3,https://www.vlr.gg/353197/cloud9-vs-kr-esports-champions-tour-2024-americas-stage-2-w4,Cloud9_vs_KRÜ Esports,B,Others,0.4681372549019608,0.3157894736842105
0,https://www.vlr.gg/353198/evil-geniuses-vs-mibr-champions-tour-2024-americas-stage-2-w4,Evil Geniuses_vs_MIBR,A,B,0.7878787878787878,1.0
1,https://www.vlr.gg/353198/evil-geniuses-vs-mibr-champions-tour-2024-americas-stage-2-w4,Evil Geniuses_vs_MIBR,A,Others,0.5,0.5
2,https://www.vlr.gg/353198/evil-geniuses-vs-mibr-champions-tour-2024-americas-stage-2-w4,Evil Geniuses_vs_MIBR,B,A,0.21212121212121213,0.0
3,https://www.vlr.gg/353198/evil-geniuses-vs-mibr-champions-tour-2024-americas-stage-2-w4,Evil Geniuses_vs_MIBR,B,Others,0.3782051282051282,0.06666666666666667
0,https://www.vlr.gg/353199/leviat-n-vs-furia-champions-tour-2024-americas-stage-2-w4,LEVIATÁN_vs_FURIA,A,B,0.47804878048780486,0.5555555555555556
1,https://www.vlr.gg/353199/leviat-n-vs-furia-champions-tour-2024-americas-stage-2-w4,LEVIATÁN_vs_FURIA,A,Others,0.5289855072463768,0.6842105263157895
2,https://www.vlr.gg/353199/leviat-n-vs-furia-champions-tour-2024-americas-stage-2-w4,LEVIATÁN_vs_FURIA,B,A,0.5219512195121951,0.4444444444444444
3,https://www.vlr.gg/353199/leviat-n-vs-furia-champions-tour-2024-americas-stage-2-w4,LEVIATÁN_vs_FURIA,B,Others,0.44648318042813456,0.4375
0,https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4,LOUD_vs_100 Thieves,A,B,0.4634146341463415,0.5
1,https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4,LOUD_vs_100 Thieves,A,Others,0.5041095890410959,0.47058823529411764
2,https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4,LOUD_vs_100 Thieves,B,A,0.5365853658536586,0.5
3,https://www.vlr.gg/353200/loud-vs-100-thieves-champions-tour-2024-americas-stage-2-w4,LOUD_vs_100 Thieves,B,Others,0.5461538461538461,0.6111111111111112
0,https://www.vlr.gg/353201/sentinels-vs-g2-esports-champions-tour-2024-americas-stage-2-w4,Sentinels_vs_G2 Esports,A,B,0.5224719101123596,0.625
1,https://www.vlr.gg/353201/sentinels-vs-g2-esports-champions-tour-2024-americas-stage-2-w4,Sentinels_vs_G2 Esports,A,Others,0.5625,0.7333333333333333
2,https://www.vlr.gg/353201/sentinels-vs-g2-esports-champions-tour-2024-americas-stage-2-w4,Sentinels_vs_G2 Esports,B,A,0.47752808988764045,0.375
3,https://www.vlr.gg/353201/sentinels-vs-g2-esports-champions-tour-2024-americas-stage-2-w4,Sentinels_vs_G2 Esports,B,Others,0.5121412803532008,0.5714285714285714
0,https://www.vlr.gg/371266/kr-esports-vs-cloud9-champions-tour-2024-americas-stage-2-ko,KRÜ Esports_vs_Cloud9,A,B,0.5515151515151515,0.625
1,https://www.vlr.gg/371266/kr-esports-vs-cloud9-champions-tour-2024-americas-stage-2-ko,KRÜ Esports_vs_Cloud9,A,Others,0.4681372549019608,0.3157894736842105
2,https://www.vlr.gg/371266/kr-esports-vs-cloud9-champions-tour-2024-americas-stage-2-ko,KRÜ Esports_vs_Cloud9,B,A,0.4484848484848485,0.375
3,https://www.vlr.gg/371266/kr-esports-vs-cloud9-champions-tour-2024-americas-stage-2-ko,KRÜ Esports_vs_Cloud9,B,Others,0.45892351274787535,0.4117647058823529
0,https://www.vlr.gg/371267/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-2-ko,Sentinels_vs_100 Thieves,A,B,0.5783132530120482,0.75
1,https://www.vlr.gg/371267/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-2-ko,Sentinels_vs_100 Thieves,A,Others,0.52,0.6
2,https://www.vlr.gg/371267/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-2-ko,Sentinels_vs_100 Thieves,B,A,0.42168674698795183,0.25
3,https://www.vlr.gg/371267/sentinels-vs-100-thieves-champions-tour-2024-americas-stage-2-ko,Sentinels_vs_100 Thieves,B,Others,0.5378590078328982,0.5555555555555556
